"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ROADACCID","DEATH","1000000HAB","A","1970",388.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1971",251.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1972",310,
"LUX","ROADACCID","DEATH","1000000HAB","A","1973",310.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1974",361.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1975",350.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1976",280.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1977",306.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1978",282.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1979",248.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","1980",269.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1981",274.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","1982",205.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1983",232.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","1984",191.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1985",215.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1986",214.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1987",183.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1988",224.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","1989",174.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","1990",186,
"LUX","ROADACCID","DEATH","1000000HAB","A","1991",214.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","1992",176.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1993",196.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","1994",163.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","1995",171.3,
"LUX","ROADACCID","DEATH","1000000HAB","A","1996",171.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","1997",143,
"LUX","ROADACCID","DEATH","1000000HAB","A","1998",134.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","1999",134.7,
"LUX","ROADACCID","DEATH","1000000HAB","A","2000",174.2,
"LUX","ROADACCID","DEATH","1000000HAB","A","2001",158.5,
"LUX","ROADACCID","DEATH","1000000HAB","A","2002",139,
"LUX","ROADACCID","DEATH","1000000HAB","A","2003",117.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","2004",109.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","2005",101,
"LUX","ROADACCID","DEATH","1000000HAB","A","2006",91,
"LUX","ROADACCID","DEATH","1000000HAB","A","2007",95.8,
"LUX","ROADACCID","DEATH","1000000HAB","A","2008",71.6,
"LUX","ROADACCID","DEATH","1000000HAB","A","2009",96.4,
"LUX","ROADACCID","DEATH","1000000HAB","A","2010",63.1,
"LUX","ROADACCID","DEATH","1000000HAB","A","2011",63.7,"E"
"LUX","ROADACCID","DEATH","1000000HAB","A","2012",64,"E"
